CMDLINE /Users/jsopkin/Library/Caches/pypoetry/virtualenvs/memory-leak-aQ-LIkNN-py3.11/bin/python flow.py
MEM 166.847656 1694027205.3383
MEM 166.847656 1694027205.4407
MEM 166.847656 1694027205.5461
MEM 166.847656 1694027205.6478
MEM 166.847656 1694027205.7527
MEM 166.847656 1694027205.8554
MEM 166.847656 1694027205.9578
MEM 166.847656 1694027206.0627
MEM 165.937500 1694027206.1638
MEM 165.937500 1694027206.2676
MEM 165.937500 1694027206.3713
MEM 165.937500 1694027206.4721
MEM 165.937500 1694027206.5775
MEM 165.937500 1694027206.6814
MEM 165.968750 1694027206.7846
MEM 165.968750 1694027206.8860
MEM 165.968750 1694027206.9912
MEM 165.968750 1694027207.0962
MEM 165.968750 1694027207.1967
MEM 165.968750 1694027207.3020
MEM 165.968750 1694027207.4068
MEM 165.968750 1694027207.5099
MEM 165.968750 1694027207.6141
MEM 165.968750 1694027207.7150
MEM 165.968750 1694027207.8205
MEM 165.968750 1694027207.9226
MEM 165.968750 1694027208.0278
MEM 165.968750 1694027208.1330
MEM 166.011719 1694027208.2335
MEM 166.011719 1694027208.3349
MEM 166.011719 1694027208.4387
MEM 166.011719 1694027208.5424
MEM 166.023438 1694027208.6476
MEM 166.023438 1694027208.7486
MEM 166.031250 1694027208.8490
MEM 166.031250 1694027208.9536
MEM 166.031250 1694027209.0570
MEM 166.031250 1694027209.1577
MEM 166.031250 1694027209.2629
MEM 166.031250 1694027209.3683
MEM 166.031250 1694027209.4739
MEM 165.843750 1694027209.5793
MEM 165.843750 1694027209.6845
MEM 165.843750 1694027209.7879
MEM 165.843750 1694027209.8930
MEM 165.843750 1694027209.9985
MEM 165.843750 1694027210.1010
MEM 165.843750 1694027210.2021
MEM 165.843750 1694027210.3071
MEM 165.843750 1694027210.4101
MEM 165.843750 1694027210.5147
MEM 164.484375 1694027210.6150
MEM 164.484375 1694027210.7204
MEM 164.484375 1694027210.8260
MEM 164.484375 1694027210.9310
MEM 164.542969 1694027211.0357
MEM 164.542969 1694027211.1411
MEM 164.542969 1694027211.2449
MEM 164.542969 1694027211.3491
